,name,salary_from,salary_to,days,company,city
534,официант,19000,,6,Санаторий Южное Взморье,Адлер
535,менеджер,40000,,6,Корпорация ЭЛАР,
536,менеджер,28000,40000,6,Суп Групп,
537,специалист,16000,,6,"Надежда. SPA & Морской рай, курортный комплекс",
538,специалист,16000,,6,"Надежда. SPA & Морской рай, курортный комплекс",
539,воспитатель,22000,,6,Мостовик Девелопмент,Сочи
540,пекарь-кондитер,30000,,6,Alean Family Resort Collection,Сочи
541,повар мясного,30000,,6,Alean Family Resort Collection,Сочи
542,кассир,26000,,6,Вкуснолюбов,Краснодар
543,работник блинного,20000,25000,6,Вкуснолюбов,Краснодар
544,продавец-блинопек,20000,25000,6,Вкуснолюбов,Краснодар
545,продавец-блинопек,23000,,6,Вкуснолюбов,Краснодар
546,горничная,18000,25000,6,Гостиничный комплекс Астория,
547,повар горячего,30000,,6,Alean Family Resort Collection,Сочи
548,повар,30000,,6,FIFTY GYM,
549,бармен,20000,,6,FIFTY GYM,
550,мастер паровых,25000,33000,6,Домейн,Сочи
551,бармен,41000,,6,Домейн,Сочи
552,официант,30000,40000,6,ГЛАВКАФЕ,
553,повар-пиццайол,30000,35000,6,Сервис Групп Плюс,
554,администратор,25000,,6,Alean Family Resort Collection,Анапа
555,повар горячего,27000,,6,Alean Family Resort Collection,Анапа
556,повар пиццы,28000,30000,6,Торговая сеть ТАБРИС,Краснодар
557,управляющий,60000,100000,6,Сервис Групп Плюс,
558,повар горячего,28000,30000,6,Торговая сеть ТАБРИС,Краснодар
559,кальянщик,15000,,6,"Сеть ресторанов Pro Sushi, Beshka, ДОМА пицца, PandaBar",Краснодар
560,бармен,17000,,6,Санаторий «Golden»,
561,бармен,17000,,6,Санаторий «Golden»,
562,бармен,17000,,6,Санаторий «Golden»,
563,бармен,17000,,6,Санаторий «Golden»,
564,бармен,17000,,6,Санаторий «Golden»,
565,бармен,17000,,6,Санаторий «Golden»,
566,бармен,17000,,6,Санаторий «Golden»,
567,бармен,17000,,6,Санаторий «Golden»,
568,бармен,17000,,6,Санаторий «Golden»,
569,бармен,17000,,6,Санаторий «Golden»,
570,бармен,17000,,6,Санаторий «Golden»,
571,бармен,17000,,6,Санаторий «Golden»,
572,бармен,17000,,6,Санаторий «Golden»,
573,повар-универсал,30000,35000,6,«Родина кейтеринг»,Краснодар
574,шеф-повар,70000,80000,6,КА ГОРОД,
575,менеджер,31000,31000,6,"Норильский никель, ГМК",Сочи
576,администратор,25000,,6,Отель Звездный,Сочи
577,официант,21700,32600,6,Отель Звездный,Сочи
578,формовщик,17000,20000,6,Сочинский хлебокомбинат,Сочи
579,пекарь-мастер,30000,35000,6,Сочинский хлебокомбинат,Сочи
580,помощник повара,18000,18000,6,Производственно-коммерческая фирма «ДиПОС,Краснодар
581,повар,35000,,6,Центр винного туризма Абрау Дюрсо,
582,су-шеф,,43000,6,"МАГНИТ, Розничная сеть",Краснодар
583,бармен,25000,,6,Helenendorf,Краснодар
584,повар,,22500,6,Русский лён,
585,водитель автокрана,35000,,19,Лазурный берег,
586,менеджер,60000,80000,6,Галкпром,Красная Поляна
587,горничная,800,,20,Анапское взморье,Анапа
588,повар,30000,,6,Эстетик,
589,технический работник,,30000,6,САНСЕТ,
590,разнорабочий,,30000,6,САНСЕТ,
591,администратор,,25000,7,Управляющая компания «Русский Дом»,Сочи
592,кондитер,25000,,7,"ФГБУ Объединенный санаторий Сочи, УДП РФ",Сочи
593,управляющий,10000,40000,7,Makava,Абинск
594,помощница/помощник,,21000,7,САНСЕТ,
595,повар-сушист,1500,1500,22,Ионина Мария Сергеевна,
596,специалист,25000,50000,7,Workle,
597,специалист,25000,50000,7,Workle,
598,повар,40000,,7,Этика,
599,кавист,40000,60000,7,"Меркурий, ГК",
600,арт-директор,40000,50000,8,РЫБАЦКАЯ ДЕРЕВНЯ,
601,администратор,15000,,8,Мини Отель В ДВУХ ШАГАХ,Краснодар
602,кассир-администратор,25000,35000,8,Суши-магазин Имбирь,Адлер
603,менеджер,30000,,8,БУРГЕР КИНГ РОССИЯ,
604,обвальщик мяса,23000,,8,Крымопт,
605,горничная,25000,26000,26,Аукцион,Красная Поляна
606,кухонный работник,15000,,26,FIFTY GYM,
607,стюард,35000,,8,Сочи-Парк,Сочи
608,бариста,25000,,8,Biblos,Краснодар
609,директор ресторана,60000,,8,KFC (Yum! Brands),
610,директор ресторана,85000,,8,KFC (Yum! Brands),
611,менеджер,30000,,8,Ефименко Д.А.,
612,заведующий производством,83000,83000,8,Арктик Катеринг Сервис,
613,пекарь-кондитер,27000,,9,Парк отель Порто Маре,Алушта
614,су-шеф,70000,,9,Парк отель Порто Маре,Алушта
615,менеджер,33000,,9,ЛЮКСОР,
616,оператор управления,45000,,9,Домейн,Сочи
617,повар-универсал,33000,,9,Кронсайд,Сочи
618,повар,32000,,9,Перекресток,Новороссийск
619,бармен,25000,,9,ВЕТЕР 2.0,
620,менеджер,,37000,9,Роза Хутор,Сочи
621,повар ресторана,,40000,27,Песочная бухта,
622,специалист визового,24000,,9,ВиЭф Сервисес,
623,продавец-кассир кондитерской,18000,,9,"Любо, Сеть ресторанов",
624,повар-сушист,20000,25000,27,Фоменко Оксана Владимировна,
625,кондитер,39000,,9,Роза Хутор,
626,спасатель,25000,,9,АТЭК,Новороссийск
627,старшая горничная,25000,30000,9,Отель менеджмент,Анапа
628,директор ресторана,40000,,9,БУРГЕР КИНГ РОССИЯ,
629,менеджер,25000,,9,БУРГЕР КИНГ РОССИЯ,
630,повар горячего,27000,35000,9,"Патрик & Мари, сеть кулинарий",Краснодар
631,повар,21000,25000,9,Маринс Парк Отель Сочи,Сочи
632,портье,30000,,9,Роза Хутор,Сочи
633,повар,,32000,9,Роза Хутор,
634,руководитель транспортно-информационных,50000,,9,Staff and Service,
635,супервайзер транспортно-информационных,45000,,9,Staff and Service,
636,повар-сушист,45000,,9,MYBOX,
637,повар-сушист,45000,,9,MYBOX,
638,повар-сушист,45000,,9,MYBOX,
639,посудомойка,30000,35000,9,Отель Пиратская бухта,
640,пиццамейкер,30000,,28,ФГАУ ОК Дагомыс УДП РФ,Сочи
641,повар,40000,,9,Минами,Новороссийск
642,официант,20000,,9,ЛЮКСОР,Сочи
643,продавец-кассир/бармен-кассир,20000,,9,ЛЮКСОР,Сочи
644,контролер билетов,15000,,9,ЛЮКСОР,
645,повар,28000,,10,Филиал ООО РУСПАБ в г. Сочи,Сочи
646,разносчик багажа,25000,25000,10,Сочи-Парк,Сочи
647,игротехник,25000,28000,10,Сочи-Парк,Адлер
648,горничная,27000,27000,10,Сочи-Парк,Адлер
649,администратор,28000,35000,10,Меньшов Игорь Олегович,Краснодар
650,повар,33000,,10,"Миллениум, ГК",
651,повар,27000,,10,Т-кафе,Краснодар
652,пекарь или,30000,,10,ХоРеКа Инвест Групп,Краснодар
653,повар,30000,,10,ХоРеКа Инвест Групп,Краснодар
654,специалист,,22000,10,Mriya Resort & SPA,Ялта
655,официант,18500,30000,10,"Платан Южный, Отель",Краснодар
656,горничная,15000,,10,"Платан Южный, Отель",Краснодар
657,повар,25000,,10,"Платан Южный, Отель",Краснодар
658,менеджер,30000,,10,БУРГЕР КИНГ РОССИЯ,
659,повар холодного,30000,,10,АТЭК,Новороссийск
660,повар горячего,30000,,10,АТЭК,Новороссийск
661,бармен-официант,20000,30000,11,"Меркурий, ГК",Сочи
662,аниматор,16000,38000,11,Парк отель Порто Маре,Алушта
663,пекарь,,26000,11,Яблоко,
664,специалист,25000,,11,Mriya Resort & SPA,Ялта
665,шеф-повар японской,75000,100000,11,РЕОЛ,
666,кондитер,30000,,11,Юниверсити Плаза,Сочи
667,управляющий,70000,,11,Оскар,
668,тренер-спасатель,25000,,11,Роза Хутор,Сочи
669,шеф-аниматор,35000,,11,Санаторий «Golden»,
670,шеф-аниматор,35000,,11,Санаторий «Golden»,
671,шеф-аниматор,35000,,11,Санаторий «Golden»,
672,шеф-аниматор,35000,,11,Санаторий «Golden»,
673,шеф-аниматор,35000,,11,Санаторий «Golden»,
674,шеф-аниматор,35000,,11,Санаторий «Golden»,
675,шеф-аниматор,35000,,11,Санаторий «Golden»,
676,шеф-аниматор,35000,,11,Санаторий «Golden»,
677,шеф-аниматор,35000,,11,Санаторий «Golden»,
678,шеф-аниматор,35000,,11,Санаторий «Golden»,
679,шеф-аниматор,35000,,11,Санаторий «Golden»,
680,шеф-аниматор,35000,,11,Санаторий «Golden»,
681,шеф-аниматор,35000,,11,Санаторий «Golden»,
682,шеф-аниматор,35000,,11,Санаторий «Golden»,
683,шеф-аниматор,35000,,11,Санаторий «Golden»,
684,шеф-аниматор,35000,,11,Санаторий «Golden»,
685,менеджер,40000,,11,Гэлакси-3,Сочи
686,горничная,20000,,11,Киселев Александр Сергеевич,
687,администратор,,29000,11,Роза Хутор,Сочи
688,повар,25000,30000,11,Cеть раковарен Ивана Раковара,Краснодар
689,руководитель службы,15000,35000,11,New Stadium,
690,повар-сушист,45000,,11,MYBOX,
691,менеджер,20000,70000,11,СКК Знание,Сочи
692,повар,25000,,11,ГК Пегас,Краснодар
693,ночной повар,31000,36000,11,RODINA Grand Hotel & SPA,Сочи
694,официант,15000,35000,11,People City&Tasty Food,
695,бармен,25000,,11,ЛЮКСОР,Сочи
696,аниматор,25000,30000,11,Нарлен,Феодосия
697,бармен-официант,35000,,11,Санта Барбара,
698,повар,60000,,11,Отель Пиратская бухта,
699,менеджер,35000,,12,Гостинично-ресторанный комплекс Кипарис,Сочи
700,работник кухни,20000,,12,Сафари-парк,Краснодар
701,работник кухни,1300,,12,Карат,Краснодар
702,повар горячего,35000,,12,Карат,
703,заведующий общепитом,20000,30000,12,Вилла Валентина (Горобинский И.В.),Алушта
704,аниматор,25000,,12,"Меркурий, ГК",Адлер
705,шеф-повар,60000,,12,Санаторий Сосновая роща,
706,региональный представитель,,120000,12,ТВИЛ,Краснодар
707,горничная,22500,,12,Ибис Краснодар,Краснодар
708,повар-универсал,25000,32000,12,Gipoteza Project,Анапа
709,риэлтор-агент/менеджер,50000,150000,12,АСКА недвижимость,Сочи
710,специалист агентства,120000,,12,АСКА недвижимость,Сочи
711,администратор,23000,,12,Холдинг Роял Тайм Групп,Ейск
712,главный администратор,28000,35000,12,Холдинг Роял Тайм Групп,Ейск
713,повар-универсал,40000,100000,12,Отель РАЙ,Симферополь
714,мойщик посуды,,21400,12,Работа-это проСТО,
715,мойщик посуды,,25700,12,Работа-это проСТО,
716,горничная,15000,,12,Отель КоржовЪ,Краснодар
717,повар,25000,,12,Отель КоржовЪ,Краснодар
718,официант,20000,60000,12,Ресторан Библиотека,
719,менеджер,40000,,12,Роза Хутор,Сочи
720,шеф-повар/старший повар,35200,45400,12,ОКЕЙ – Федеральная розничная сеть,Краснодар
721,менеджер,25000,60000,12,Билет-СВ,Сочи
722,администратор,21500,,12,Группа компаний МЕДСИ,Ялта
723,формовщик,19000,19400,13,"МАГНИТ, Розничная сеть",
724,уборщица/уборщик,28000,,13,МегаСтафГрупп,Сочи
725,официант,23000,,13,УГК Космос Групп,Сочи
726,повар-универсал,40000,,13,Домейн,Сочи
727,носильщик белья,20000,,13,Alean Family Resort Collection,Анапа
728,воспитатель,24500,,13,Alean Family Resort Collection,Анапа
729,аниматор детский,24500,,13,Alean Family Resort Collection,
730,младший повар,22500,24500,13,«Родина кейтеринг»,Сочи
731,официант,25000,35000,13,«Родина кейтеринг»,Краснодар
732,официант залов,25000,,13,«Родина кейтеринг»,Анапа
733,официант залов,26000,,13,«Родина кейтеринг»,
734,кассир,20600,30000,13,«Родина кейтеринг»,Анапа
735,официант залов,24000,29000,13,«Родина кейтеринг»,Сочи
736,уборщик офисных,,15000,13,"МАГНИТ, Розничная сеть",Краснодар
737,кондитер гипермаркета,27600,31800,13,"МАГНИТ, Розничная сеть",
738,пекарь,22000,25000,13,Хлебница,
739,официант,20000,,13,Райт,Анапа
740,повар-универсал,27000,,13,JCat.ru,
741,повар,20000,,13,Райт,Анапа
742,повар,25000,,13,Лазурный берег,
743,повар -универсал,40000,,13,Твой бар,
744,пекарь-тестомес гипермаркета,23800,27600,13,"МАГНИТ, Розничная сеть",
745,официант,30000,,13,Смак,Симферополь
746,смены,28000,,13,МОНЭКС ТРЕЙДИНГ,Краснодар
747,швейцар,22000,,13,Роза Хутор,Сочи
748,официант,40000,,13,Домейн,Сочи
749,администратор,35000,,13,Домейн,Сочи
750,сомелье,55000,,13,Домейн,Сочи
751,аниматор-универсал,29700,,13,Alean Family Resort Collection,Геленджик
752,кондитер,35000,38500,13,Alean Family Resort Collection,Геленджик
753,кондитер,27000,29700,13,Alean Family Resort Collection,Новороссийск
754,кондитер,35000,38500,13,Alean Family Resort Collection,Краснодар
755,аниматор-универсал,29700,,13,Alean Family Resort Collection,Новороссийск
756,аниматор-универсал,29700,,13,Alean Family Resort Collection,Краснодар
757,менеджер,28000,36000,13,Сеть ресторанов РИС,
758,заместитель генерального,,100000,13,ЕвроСтройИнвест,Сочи
759,автор работ,20000,,13,Ворк,
760,повар,25000,40000,13,Парк отель Порто Маре,
761,аниматор отеля,450,500,13,Вита Юнион,Краснодар
762,администратор,20000,,13,Райт,Анапа
763,повар ресторана,30000,,13,ЛЕКС,
764,горничная,14800,,13,Санаторий Солнечный берег ВОС,
765,официант,14000,,13,Санаторий Солнечный берег ВОС,
766,мойщик посуды,,22300,13,Работа-это проСТО,
767,формовщик,,26840,13,Работа-это проСТО,
768,директор ночного,45000,,13,Меркурий,
769,личный секретарь-помощник,80000,100000,13,Сетевой отель Гостиница Новая,Сочи
770,агент,25000,50000,13,Workle,
771,менеджер,25000,50000,13,Workle,
772,хостес,25000,,13,Жуков Алексей Валерьевич,Краснодар
773,пекарь-кондитер,,30000,13,ХоРеКа Инвест Групп,Краснодар
774,официант,16000,30000,14,Гранат,
775,управляющий,80000,,14,Follow Me Cafe,Сочи
776,официант,40000,60000,14,Чайхана Павлин Мавлин,Симферополь
777,менеджер,30000,30000,14,Чайхана Павлин Мавлин,Симферополь
778,бармен/бариста,25000,,14,Чайхана Павлин Мавлин,Симферополь
779,администратор,30000,45000,14,DANIEL,
780,повар-универсал,25000,35000,14,Арт-кафе Летчики,Севастополь
781,кухонная рабочая/кухонный,25000,,15,Хичина Оксана,Новороссийск
782,вожатый,20000,,15,Парк отель Порто Маре,
783,вожатый,20000,,15,Парк отель Порто Маре,
784,повар-бригадир,,35000,15,Alean Family Resort Collection,Сочи
785,повар холодного,,24000,15,Alean Family Resort Collection,Сочи
786,официант шведской,,20000,15,Alean Family Resort Collection,Сочи
787,повар кулинарии,23200,27800,16,"МАГНИТ, Розничная сеть",
788,повар-универсал гипермаркета,23000,28800,16,"МАГНИТ, Розничная сеть",
789,официант,,28000,16,"МАГНИТ, Розничная сеть",Краснодар
790,пекарь-тестомес гипермаркета,18300,18300,16,"МАГНИТ, Розничная сеть",
791,спорт аниматор,,25000,16,Alean Family Resort Collection,Сочи
792,диетсестра,,25000,16,Alean Family Resort Collection,Сочи
793,шеф-аниматор,25000,,16,Райт,Анапа
794,ведущий просветительских,,45000,16,Образовательный Фонд «Талант и успех»,
795,шеф-повар,30000,55000,16,Райт,Анапа
796,повар-сушист,27000,40000,16,Райз Тренд,Краснодар
797,мобильный менеджер,35000,,16,Единый Визовый Центр,
798,шеф-повар,50000,50000,16,ТИР (Автокафе),Севастополь
799,повар,30000,,16,Перекресток,Новороссийск
800,повар,25000,35000,16,Cеть раковарен Ивана Раковара,Краснодар
801,администратор,24000,30000,16,Alean Family Resort Collection,Геленджик
802,начальник службы,50000,,16,SPA Hotel & Wellness «Приморье» ****,
803,начальник службы,50000,,16,SPA Hotel & Wellness «Приморье» ****,
804,бармен,28000,,16,Роза Хутор,Сочи
805,кладовщик,16000,,16,"Жемчужина России, ДСОК",Анапа
806,повар,1500,,16,Отель менеджмент,Анапа
807,портье,18000,,16,Ореанда Премьер Отель,Ялта
808,повар,40000,60000,16,АЙБИПИ ГРУПП,Сочи
809,повар,18000,26500,16,"Сеть ресторанов Pro Sushi, Beshka, ДОМА пицца, PandaBar",Туапсе
810,повар,,30000,16,Роза Хутор,
811,повар-универсал,30000,35000,16,Pizznroll,Краснодар
812,бармен-официант,22000,,16,Южная бухта,
813,повар-кондитер,30000,35000,16,Matreshka,Краснодар
814,повар-пиццерист,30000,35000,16,Pizznroll,Краснодар
815,повар,32000,40000,16,Wow шаурма,
816,администратор,26000,,16,Туристический комплекс Арго,Алушта
817,шеф-повар,40000,,16,Туристический комплекс Арго,
818,шеф-повар,40000,,16,Туристический комплекс Арго,
819,аниматор,18000,,16,Санаторий «Golden»,Алушта
820,аниматор,18000,,16,Санаторий «Golden»,Джанкой
821,аниматор,18000,,16,Санаторий «Golden»,Керчь
822,аниматор,18000,,16,Санаторий «Golden»,Севастополь
823,аниматор,18000,,16,Санаторий «Golden»,Симферополь
824,аниматор,18000,,16,Санаторий «Golden»,Феодосия
825,аниматор,18000,,16,Санаторий «Golden»,Ялта
826,менеджер,15000,100000,16,Vik-Tour,Краснодар
827,бармен,26000,26000,17,Мостовик Девелопмент,Сочи
828,официант,25000,,17,Мостовик Девелопмент,Сочи
829,повар,34000,,17,Мостовик Девелопмент,Сочи
830,повар-сушист,30000,35000,17,Pizznroll,Краснодар
831,преподаватель сомелье,10000,12000,17,Школа стюардесс «Marina-School»,Краснодар
832,бармен-официант,20000,,17,"Екатерининский, ЗАО Гостиничный комплекс",Краснодар
833,повар,25000,,17,Маруха Анна Юрьевна,Краснодар
834,бармен,30000,,17,TREND,
835,официант,20000,,17,"Любо, Сеть ресторанов",
836,повар,30000,,17,"Любо, Сеть ресторанов",
837,управляющий,100000,,17,Чайхана Павлин Мавлин,
838,официант,18000,,17,Санаторий Сосновая роща,
839,официант,30000,,17,Центр винного туризма Абрау Дюрсо,
840,хостес,20000,25000,17,Чайхана Павлин Мавлин,Симферополь
841,су-шеф,60000,,17,Мостовик Девелопмент,Сочи
842,заместитель главного,50000,,17,Мостовик Девелопмент,Сочи
843,мойщик посуды,25000,40000,17,Fusion management,
844,су-шеф,60000,,17,Fusion management,
845,отельный гид,20000,30000,17,Окрыляем успехом,Ялта
846,бармен,35000,60000,17,Fusion management,
847,повар,30000,70000,17,Fusion management,
848,помощник официанта,10000,40000,17,Fusion management,
849,официант,35000,,17,Fusion management,
850,менеджер,15000,,17,Ларанд ЛТД,Севастополь
851,повар-универсал,30000,,17,UNDERSUN Парк-Отель,
852,повар-универсал,22000,35000,17,Швед-сервис+,
853,официант,15000,25000,17,Швед-сервис+,
854,менеджер,30000,,17,КСКК АКВАЛОО,Сочи
855,специалист,50000,70000,17,Алкогольная Сибирская группа,
856,повар,14500,,17,Формула Вкуса,
857,заведующий производством,15500,,17,Формула Вкуса,
858,повар,30000,40000,17,ВИТАТЕХ,
859,официант,25000,,17,АТЭК,Новороссийск
860,администратор,30000,30000,17,АТЭК,Новороссийск
861,управляющий,100000,120000,17,Куктрип,
862,повар,25000,,17,Отель Анапа Лазурная,Анапа
863,официант,17000,,17,Отель Анапа Лазурная,Анапа
864,официант,16000,22000,17,Ресторан М-Клуб,Кропоткин
865,специалист административно-хозяйственного,40000,,18,Ростелеком,
866,официант,35000,35000,18,White Rabbit Family,
867,бариста-кассир,25000,25000,18,Т-кафе,Краснодар
868,менеджер,20000,,18,Виват,Анапа
869,администратор,,29500,18,Alean Family Resort Collection,Сочи
870,администратор,55000,56000,18,Гранат,
871,официант,16000,30000,18,Гранат,
872,пекарь-кондитер,35000,35000,18,Гранат,
873,повар универсал,35000,40000,18,Гранат,
874,администратор,30000,55000,18,Гранат,
875,менеджер,15000,,18,СТАДИ ЭНД ТРЭВЕЛ,Краснодар
876,повар горячего,40000,65000,18,МЕГА,Сочи
877,официант,33000,33000,18,Rixos Krasnaya Polyana Sochi,
878,менеджер,50000,100000,18,Группа Компаний МОСТ,Севастополь
879,повар,30000,40000,18,ВАСМА ЛТД,Гаспра
880,повар-шашлычник,38000,42000,18,Алексанян Ерванд Ашотович,
881,повар-универсал,38000,42000,18,Алексанян Ерванд Ашотович,
882,горничная,20000,25000,18,"КРИНИЦА, ДСОК",
883,официант,1500,,18,Резиденция Парк Шале (Романова С.Б.),Сочи
884,администратор,20000,30000,18,"Кулаков Дмитрий Игоревич (Два Маяка, гостевой дом)",
885,су-шеф,40000,,18,Скай,
886,мангальщик,30000,,18,Джемалединов Айдер Талятович,Ялта
887,помощник повара,25000,,18,Джемалединов Айдер Талятович,Ялта
888,повар-универсал,30000,70000,18,Джемалединов Айдер Талятович,Ялта
889,шеф-бариста,25000,,18,Ендальцев,
890,заместитель генерального,,100000,18,ЕвроСтройИнвест,Сочи
891,кондитер,30000,34000,19,FIDELE Симферополь,
892,администратор-кассир,30000,,19,Куцый Василий Андреевич,
893,бармен,28000,,19,SG Group,
894,повар,35000,50000,19,Пляж 117,Феодосия
895,бармен,30000,50000,19,Пляж 117,Феодосия
896,официант,20000,35000,19,Пляж 117,Феодосия
897,менеджер,20000,60000,19,Агентство ЮТС - Южный Туристический Сервис,
898,мойщик посуды,,26000,19,"Патрик & Мари, сеть кулинарий",Краснодар
899,горничная спа,23000,,19,Парк отель Порто Маре,Алушта
900,повар-официант,15000,,19,"Меркурий, ГК",Адлер
901,шеф-повар,,70000,19,Дельта,Щёлкино
902,руководитель сети,1000,,19,Смак,
903,менеджер,20000,40000,19,"СЕЛЕНА, Туристическая компания",Краснодар
904,бармен,25000,,19,Сеть ресторанов РИС,
905,директор гбдоу,100000,,19,Правительство Севастополя,
906,повар,30000,,19,Вкуснолюбов,Краснодар
907,заместитель директора,60000,80000,19,ФЛЭШ,
908,повар-универсал,30000,,19,FIFTY GYM,
909,носильщик багажа,16000,25000,19,Alean Family Resort Collection,Геленджик
910,повар,25000,,19,Costa Rusa,
911,повар,30000,,19,Costa Rusa,
912,повар-универсал,24000,,19,Costa Rusa,
913,повар-сушист,25000,,19,Costa Rusa,
914,официант,25000,,19,Costa Rusa,
915,официант,12000,,19,Costa Rusa,
916,бармен,22500,,19,Costa Rusa,
917,бармен,22500,,19,Costa Rusa,
