,name,salary_from,salary_to,days,company,city
1089,помощник повара,24000,,25,Alean Family Resort Collection,
1090,кухонный работник,32000,,25,Домейн,Сочи
1091,повар-заготовщик,35000,40000,25,RODINA Grand Hotel & SPA,Сочи
1092,официант,20000,25000,25,Парк отель Порто Маре,
1093,официант,20000,25000,25,Парк отель Порто Маре,
1094,официант,20000,25000,25,Парк отель Порто Маре,
1095,инженер,30000,40000,25,Парк отель Порто Маре,Алушта
1096,управляющий,35000,,25,ХЭППИ СИЗОНС ХОТЕЛС ГРУП,
1097,менеджер,15000,35000,25,Тур де Франс,Краснодар
1098,бариста,25000,40000,25,Королева Валентина Борисовна,Краснодар
1099,менеджер,34500,43000,25,Резиденция «Крымский Бриз»,Ялта
1100,администратор-кассир,22000,28000,25,Суши Мастер,
1101,стюард,25000,,25,АТЭК,Новороссийск
1102,специалист,25000,25000,25,АТЭК,
1103,"повар-универсал,",22000,,25,Санаторий «Golden»,Алупка
1104,повар-универсал,22000,,25,Санаторий «Golden»,Бахчисарай
1105,"повар-универсал,",22000,,25,Санаторий «Golden»,Балаклава
1106,"повар-универсал,",22000,,25,Санаторий «Golden»,Гурзуф
1107,повар-универсал,22000,,25,Санаторий «Golden»,Алушта
1108,повар холодного,30000,40000,25,Альпийский дом,Сочи
1109,"повар-универсал,",20000,,26,Санаторий «Golden»,Джанкой
1110,официант,16000,,26,Санаторий «Golden»,Джанкой
1111,официант,16000,,26,Санаторий «Golden»,Евпатория
1112,повар-кондитер,40000,80000,26,Отель Ас-Эль,Феодосия
1113,хостес ресторана,36000,,26,Домейн,Сочи
1114,официант,16000,,26,Санаторий «Golden»,Керчь
1115,официант,16000,,26,Санаторий «Golden»,Симферополь
1116,официант,16000,,26,Санаторий «Golden»,Феодосия
1117,официант,16000,,26,Санаторий «Golden»,Алушта
1118,официант,16000,,26,Санаторий «Golden»,Ялта
1119,су-шеф,50000,50000,26,Лукор,Сочи
1120,аниматор детский,25000,,26,Alean Family Resort Collection,Сочи
1121,начальник службы,35000,,26,ХЭППИ СИЗОНС ХОТЕЛС ГРУП,
1122,шеф-повар,60000,70000,26,Вилла Аль Марин,
1123,аниматор,20000,,26,Palmira Palace,
1124,повар,23000,,26,ХЭППИ СИЗОНС ХОТЕЛС ГРУП,
1125,горничная,22000,25000,26,Карат,
1126,повар,28000,,26,Управляющая компания «Русский Дом»,Сочи
1127,официант,25000,,26,Роза Хутор,
1128,повар-мангальщик,39000,40500,26,Регион,
1129,официант,18000,40000,26,Регион,
1130,региональный представитель,,60000,26,Бизнес Софт,
1131,автор работ,20000,,26,Ворк,
1132,посудомойщица-уборщица,19000,26000,26,"РАЗ, ДВА, ТРИ",
1133,кухонный работник,22000,22000,26,фирма «Агрокомплекс» им. Н.И. Ткачева,Краснодар
1134,управляющий,50000,,26,ТД Николаев и сыновья,
1135,бармен-официант,25000,,26,ТД Николаев и сыновья,Краснодар
1136,уборщик административных,9000,9000,26,АнтАлекс,Туапсе
1137,шеф-повар,100000,,27,Новиков Групп,
1138,администратор,30000,40000,27,MONIKA,
1139,ночной повар,30000,36000,27,Отель Звездный,Сочи
1140,повар,28000,40000,27,Маринс Парк Отель Сочи,Сочи
1141,официант,50000,,27,«Чайхона №1» Братьев Васильчук,
